,index,Wine Type,Country,Final Price,Grape Variety,Rating Score,Wine Name,alcohol_percent,food_pairing
172,3024,Red,USA,33.99,Rhone Red Blends,93.0,Limerick Lane Syrah / Grenache,0,
173,3031,Red,USA,17.99,Zinfandel,90.0,Michael David Winery 7 Deadly Zins Zinfandel,0,
174,3038,Red,USA,45.99,Pinot Noir,92.0,Evening Land Eola-Amity Hills Seven Springs Vineyard Pinot Noir,0,
175,3044,Red,USA,78.99,Bordeaux,94.0,Col Solare,0,
176,3053,Red,USA,33.99,Cabernet Sauvignon,91.0,Chateau Ste. Michelle Cold Creek Vineyard Cabernet Sauvignon,0,
177,3056,Red,Argentina,17.99,Malbec,89.0,La Posta Angel Paulucci Vineyard Malbec,0,
178,3064,Red,Argentina,19.99,Malbec,90.0,Terrazas de los Andes Reserva Malbec,0,
179,3066,Red,Argentina,31.99,Malbec,91.0,Tikal Amorio Malbec,0,
180,3073,Red,Australia,19.99,Syrah/Shiraz,91.0,Tait The Ball Buster,0,
181,3074,Red,Australia,21.99,Syrah/Shiraz,91.0,Torbreck Woodcutters Shiraz,0,
182,3083,Red,Australia,24.99,Syrah/Shiraz,91.0,d'Arenberg Laughing Magpie Shiraz Viognier,0,
183,3085,Red,France,32.99,Rhone Red Blends,89.0,Domaine du Vieux Lazaret Chateauneuf-du-Pape,0,
184,3092,Red,France,17.99,Rhone Red Blends,89.0,Domaine du Vieux Lazaret Chateauneuf-du-Pape (375ML half-bottle),0,
185,3098,Red,Italy,239.0,Nebbiolo,97.0,Gaja Sperss,0,
186,3104,Red,Italy,22.99,Nebbiolo,90.0,Marchesi di Gresy Nebbiolo Martinenga,0,
187,3113,Red,Italy,19.99,Other Red Blends,91.0,Poggio al Tesoro Mediterra,0,
188,3119,Red,Italy,18.99,Sangiovese,91.0,Castello di Meleto Chianti Classico,0,
189,3125,Red,Italy,23.99,Sangiovese,90.0,Col d'Orcia Rosso di Montalcino,0,
190,3128,Red,Spain,10.99,Grenache,88.0,Artazu Artazuri Garnacha,0,
191,3135,Red,Spain,15.99,Grenache,91.0,Bodegas Breca,0,
192,3141,Red,Spain,8.99,Grenache,89.0,Bodegas Breca Garnacha de Fuego,0,
193,3144,Red,Spain,18.99,Grenache,92.0,Borsao Tres Picos Garnacha,0,
194,3145,Red,Spain,12.99,Mourvedre,91.0,Bodegas Olivares Altos de la Hoya,0,
195,3152,Red,Spain,16.99,Mourvedre,92.0,Bodegas Volver Tarima Hill,0,
196,3158,Red,Spain,15.99,Tempranillo,90.0,Bodegas Barco de Piedra Tempranillo,0,
197,3166,Red,Spain,12.99,Tempranillo,90.0,Vina Gormaz Tempranillo,0,
198,3167,Red,Spain,10.99,Other Red Wine,90.0,Bodegas y Vinedos Ilurce Rio Madre Graciano,0,
199,3174,Red,Spain,19.99,Tempranillo,90.0,Sierra Cantabria Crianza,0,
200,3175,Red,USA,68.99,Cabernet Sauvignon,91.0,Joseph Phelps Cabernet Sauvignon,0,
201,3176,Red,USA,53.99,Cabernet Sauvignon,93.0,Ramey Cabernet Sauvignon,0,
202,3183,Red,USA,59.99,Pinot Noir,92.0,Chasseur Umino Pinot Noir,0,
203,3188,Red,USA,74.99,Pinot Noir,92.0,Pahlmeyer Sonoma Coast Pinot Noir,0,
204,3190,Red,USA,29.99,Pinot Noir,90.0,WillaKenzie Estate Gisele Pinot Noir,0,
205,3193,Red,USA,89.99,Bordeaux,94.0,Figgins Estate Red Wine,0,
206,3194,Red,Argentina,10.99,Malbec,88.0,Trivento Malbec Reserve,0,
207,3196,Red,Argentina,10.99,Other Red Blends,88.0,Alamos Red Blend,0,
208,3205,Red,Argentina,19.99,Other Red Wine,93.0,Bodega Garzon Tannat,0,
209,3207,Red,Chile,13.99,Other Red Blends,92.0,Montes Twins Red Blend,0,
210,3208,Red,Italy,89.0,Nebbiolo,96.0,Marchesi di Barolo Barolo Cannubi,0,
211,3210,Red,Italy,10.99,Sangiovese,88.0,Badia a Coltibuono Cetamura Chianti,0,
212,3217,Red,Italy,21.99,Sangiovese,88.0,Santa Margherita Chianti Classico Riserva,0,
213,3223,Red,New Zealand,19.99,Pinot Noir,90.0,Mohua Pinot Noir,0,
214,3226,Red,Spain,37.99,Tempranillo,98.0,Faustino I Gran Reserva,0,
